Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-84.3750 80.2688 5.89737 0.422801 0.297324 0.131890 55.958 58.596 1.000000 1.000000 0.628869 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-78.7500 80.2688 6.79358 0.433262 0.330650 0.163275 36.206 39.472 1.000000 0.346772 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-73.1250 80.2688 6.14105 0.426865 0.309233 0.141669 32.823 35.657 1.000000 0.142462 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-56.2500 80.2688 5.37723 0.416335 0.275214 0.112850 47.174 49.431 1.000000 1.000000 0.151834 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-50.6250 80.2688 4.62147 0.405886 0.237833 0.084293 54.985 56.671 1.000000 1.000000 0.827555 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-45.0000 80.2688 4.30292 0.401485 0.220783 0.072466 53.587 55.037 1.000000 1.000000 0.859420 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
61.8750 74.7445 6.60633 0.435744 0.333507 0.161425 66.125 69.353 1.000000 1.000000 1.000000 0.151834 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
67.5000 74.7445 5.67024 0.427318 0.302804 0.130017 123.381 125.981 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.638241 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 74.7445 5.97888 0.423294 0.299607 0.134383 118.786 121.473 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.686975 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
78.7500 74.7445 6.95051 0.433605 0.333121 0.167137 82.900 86.243 1.000000 1.000000 1.000000 1.000000 0.366453 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
84.3750 74.7445 7.27563 0.438876 0.347079 0.179590 45.366 48.958 1.000000 0.892222 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 74.7445 7.36000 0.439975 0.350100 0.182527 44.243 47.893 1.000000 0.823806 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 74.7445 7.82350 0.446518 0.367275 0.199014 34.631 38.612 1.000000 0.241805 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
101.2500 74.7445 7.55806 0.444104 0.360230 0.191041 30.827 34.429 0.942831 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
106.8750 74.7445 7.38186 0.442107 0.354622 0.185242 28.830 31.878 0.822869 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
112.5000 74.7445 7.62477 0.445060 0.362732 0.193439 27.768 30.712 0.761014 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
118.1250 74.7445 7.55149 0.445475 0.362975 0.192391 28.171 31.143 0.772260 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
123.7500 74.7445 7.80384 0.449162 0.372525 0.201548 29.198 32.537 0.828492 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
129.3750 74.7445 7.62754 0.445624 0.363906 0.194109 26.689 29.377 0.692598 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
135.0000 74.7445 6.97692 0.436397 0.339027 0.170545 27.666 30.268 0.762888 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
140.6250 74.7445 6.59409 0.432191 0.326098 0.157626 27.001 29.282 0.723526 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
146.2500 74.7445 6.05679 0.424324 0.302870 0.137255 48.180 50.925 1.000000 1.000000 0.155583 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
